pincode,hub,city,state_code,is_serviceable
110001,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110002,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110003,DELHI KALU SARAI HUB,DELHI,DL,YES
110004,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110005,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110006,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110007,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110008,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110009,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110010,DELHI JANAKPURI HUB,DELHI,DL,YES
110011,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110012,DELHI JANAKPURI HUB,DELHI,DL,YES
110013,DELHI OKHLA  HUB,DELHI,DL,YES
110014,DELHI OKHLA  HUB,DELHI,DL,YES
110015,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110016,DELHI KALU SARAI HUB,DELHI,DL,YES
110017,DELHI KALU SARAI HUB,DELHI,DL,YES
110018,DELHI JANAKPURI HUB,DELHI,DL,YES
110019,DELHI OKHLA  HUB,DELHI,DL,YES
110020,DELHI OKHLA  HUB,DELHI,DL,YES
110021,DELHI KALU SARAI HUB,DELHI,DL,YES
110022,DELHI KALU SARAI HUB,DELHI,DL,YES
110023,DELHI KALU SARAI HUB,DELHI,DL,YES
110024,DELHI OKHLA  HUB,DELHI,DL,YES
110025,DELHI OKHLA  HUB,DELHI,DL,YES
110026,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110027,DELHI JANAKPURI HUB,DELHI,DL,YES
110028,DELHI JANAKPURI HUB,DELHI,DL,YES
110029,DELHI KALU SARAI HUB,DELHI,DL,YES
110030,DELHI KALU SARAI HUB,DELHI,DL,YES
110031,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110032,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110033,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110034,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110035,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110036,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110037,DELHI I.G.I AIRPORT HUB,DELHI,DL,YES
110038,DELHI I.G.I AIRPORT HUB,DELHI,DL,YES
110039,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110040,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110041,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110042,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110043,DELHI JANAKPURI HUB,DELHI,DL,YES
110044,DELHI OKHLA  HUB,DELHI,DL,YES
110045,DELHI JANAKPURI HUB,DELHI,DL,YES
110046,DELHI JANAKPURI HUB,DELHI,DL,YES
110047,DELHI KALU SARAI HUB,DELHI,DL,YES
110048,DELHI OKHLA  HUB,DELHI,DL,YES
110049,DELHI KALU SARAI HUB,DELHI,DL,YES
110050,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110051,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110052,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110053,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110054,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110055,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110056,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110057,DELHI KALU SARAI HUB,DELHI,DL,YES
110058,DELHI JANAKPURI HUB,DELHI,DL,YES
110059,DELHI JANAKPURI HUB,DELHI,DL,YES
110060,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110061,DELHI I.G.I AIRPORT HUB,DELHI,DL,YES
110062,DELHI OKHLA  HUB,DELHI,DL,YES
110063,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110064,DELHI JANAKPURI HUB,DELHI,DL,YES
110065,DELHI OKHLA  HUB,DELHI,DL,YES
110066,DELHI KALU SARAI HUB,DELHI,DL,YES
110067,DELHI KALU SARAI HUB,DELHI,DL,YES
110068,DELHI KALU SARAI HUB,DELHI,DL,YES
110069,DELHI JHANDEWALAN HUB,DELHI,DL,YES
110070,DELHI I.G.I AIRPORT HUB,DELHI,DL,YES
110074,DELHI KALU SARAI HUB,DELHI,DL,YES
110075,DELHI JANAKPURI HUB,DELHI,DL,YES
110076,DELHI OKHLA  HUB,DELHI,DL,YES
110077,DELHI JANAKPURI HUB,DELHI,DL,YES
110078,DELHI JANAKPURI HUB,DELHI,DL,YES
110080,DELHI OKHLA  HUB,DELHI,DL,YES
110081,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110082,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110083,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110084,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110085,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110086,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110087,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110088,DELHI JAHANGIRPURI HUB,DELHI,DL,YES
110089,DELHI PUNJABI BAUGH HUB,DELHI,DL,YES
110091,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110092,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110093,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110094,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110095,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110096,DELHI GANDHINAGAR HUB,DELHI,DL,YES
110097,DELHI I.G.I AIRPORT HUB,DELHI,DL,YES
120004,FARIDABAD HUB,FARIDABAD,HR,YES
121001,FARIDABAD HUB,FARIDABAD,HR,YES
121002,FARIDABAD HUB,FARIDABAD,HR,YES
121003,FARIDABAD HUB,FARIDABAD,HR,YES
121004,FARIDABAD HUB,FARIDABAD,HR,YES
121005,FARIDABAD HUB,FARIDABAD,HR,YES
121006,FARIDABAD HUB,FARIDABAD,HR,YES
121007,FARIDABAD HUB,FARIDABAD,HR,YES
121008,FARIDABAD HUB,FARIDABAD,HR,YES
121009,FARIDABAD HUB,FARIDABAD,HR,YES
121010,FARIDABAD HUB,FARIDABAD,HR,YES
121012,FARIDABAD HUB,FARIDABAD,HR,YES
121013,FARIDABAD HUB,FARIDABAD,HR,YES
121102,FARIDABAD HUB,PALWAL,HR,YES
121105,FARIDABAD HUB,PALWAL,HR,YES
122001,GURGAON IFFCO CHOWK HUB,ARJUN NAGAR,HR,YES
122002,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122003,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122004,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122005,GURGAON IFFCO CHOWK HUB,AIR FORCE,HR,YES
122006,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122007,GURGAON IFFCO CHOWK HUB,INDUSTRIAL ESTATE,HR,YES
122008,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122009,GURGAON IFFCO CHOWK HUB,GALLERIA DLF-IV,HR,YES
122010,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122011,GURGAON IFFCO CHOWK HUB,GURGAON,HR,YES
122015,GURGAON IFFCO CHOWK HUB,PALAM ROAD,HR,YES
122016,GURGAON IFFCO CHOWK HUB,INDUSTRIAL COMPLEX DUNDAHERA,HR,YES
