sr.,State,District,Taluka
1,Gujarat,Ahmedabad,Maninagar
2,Gujarat,Ahmedabad,Asarwa
3,Gujarat,Ahmedabad,Vatva
4,Gujarat,Ahmedabad,Vejalpur
5,Gujarat,Ahmedabad,Sabarmati
6,Gujarat,Ahmedabad,Ghatlodiya
7,Gujarat,Ahmedabad,Daskroi
8,Gujarat,Ahmedabad,Sanand
9,Gujarat,Ahmedabad,Viramgam
10,Gujarat,Ahmedabad,Detroj-Rampura
11,Gujarat,Ahmedabad,Mandal
12,Gujarat,Ahmedabad,Bavla
13,Gujarat,Ahmedabad,Dholka
14,Gujarat,Ahmedabad,Dhandhuka
15,Gujarat,Ahmedabad,Dholera
16,Gujarat,Amreli,Amreli
17,Gujarat,Amreli,Babra
18,Gujarat,Amreli,Dhari
19,Gujarat,Amreli,Vadia
20,Gujarat,Amreli,Lathi
21,Gujarat,Amreli,Lilia
22,Gujarat,Amreli,Savar Kundla
23,Gujarat,Amreli,Khambha
24,Gujarat,Amreli,Rajula
25,Gujarat,Amreli,Jafrabad
26,Gujarat,Amreli,Bagasara
27,Gujarat,Anand,Anand
28,Gujarat,Anand,Anklav
29,Gujarat,Anand,Borsad
30,Gujarat,Anand,Khambhat
31,Gujarat,Anand,Petlad
32,Gujarat,Anand,Sojitra
33,Gujarat,Anand,Tarapur
34,Gujarat,Anand,Umreth
35,Gujarat,Aravalli,Modasa
36,Gujarat,Aravalli,Bayad
37,Gujarat,Aravalli,Dhansura
38,Gujarat,Aravalli,Bhiloda
39,Gujarat,Aravalli,Malpur
40,Gujarat,Aravalli,Meghraj
41,Gujarat,Banaskantha,Deesa
42,Gujarat,Banaskantha,Palanpur
43,Gujarat,Banaskantha,Tharad
44,Gujarat,Banaskantha,Kankrej
45,Gujarat,Banaskantha,Vav
46,Gujarat,Banaskantha,Vadgam
47,Gujarat,Banaskantha,Dhanera
189,Gujarat,Rajkot,Jetpur
48,Gujarat,Banaskantha,Danta
49,Gujarat,Banaskantha,Deodar
50,Gujarat,Banaskantha,Amirgadh
51,Gujarat,Banaskantha,Bhabhar
52,Gujarat,Banaskantha,Dantiwada
53,Gujarat,Bharuch,Anklesvar
54,Gujarat,Bharuch,Jambusar
55,Gujarat,Bharuch,Jhagadia
56,Gujarat,Bharuch,Valia
57,Gujarat,Bharuch,Vagra
58,Gujarat,Bharuch,Amod
59,Gujarat,Bharuch,Hansot
60,Gujarat,Bhavnagar,Gariyadhar
61,Gujarat,Bhavnagar,Ghogha
62,Gujarat,Bhavnagar,Jesar
63,Gujarat,Bhavnagar,Mahuva
64,Gujarat,Bhavnagar,Palitana
65,Gujarat,Bhavnagar,Sihor
66,Gujarat,Bhavnagar,Talaja
67,Gujarat,Bhavnagar,Umarala
68,Gujarat,Bhavnagar,Vallabhipur
69,Gujarat,Botad,Gadhada
70,Gujarat,Botad,Barvala
71,Gujarat,Botad,Ranpur
72,Gujarat,Chhota Udepur,Pavijetpur
73,Gujarat,Chhota Udepur,Kawant
74,Gujarat,Chhota Udepur,Naswadi
75,Gujarat,Chhota Udepur,Sankheda
76,Gujarat,Chhota Udepur,Bodeli
77,Gujarat,Dahod,Dahod
78,Gujarat,Dahod,Limkheda
79,Gujarat,Dahod,Devgadbaria
80,Gujarat,Dahod,Jhalod
81,Gujarat,Dahod,Fatepura
82,Gujarat,Dahod,Dhanpur
83,Gujarat,Dahod,Sanjeli
84,Gujarat,Dahod,Singhvad
85,Gujarat,Dahod,Garbada
86,Gujarat,Dang,Ahwa
87,Gujarat,Dang,Waghai
88,Gujarat,Dang,Subir
89,Gujarat,Devbhumi Dwarka,Bhanvad
90,Gujarat,Devbhumi Dwarka,Kalyanpur
91,Gujarat,Devbhumi Dwarka,Khambhalia
92,Gujarat,Gandhinagar,Kalol
93,Gujarat,Gandhinagar,Dehgam
94,Gujarat,Gandhinagar,Mansa
95,Gujarat,Gir Somnath,Veraval
96,Gujarat,Gir Somnath,Una
97,Gujarat,Gir Somnath,Kodinar
98,Gujarat,Gir Somnath,Sutrapada
99,Gujarat,Gir Somnath,Talala
100,Gujarat,Gir Somnath,Gir gadhada
101,Gujarat,Jamnagar,Jam Jodhpur
102,Gujarat,Jamnagar,Jodiya
103,Gujarat,Jamnagar,Dhrol
104,Gujarat,Jamnagar,Lalpur
105,Gujarat,Jamnagar,Kalavad
106,Gujarat,Junagadh,Vanthali
107,Gujarat,Junagadh,Manavadar
108,Gujarat,Junagadh,Keshod
109,Gujarat,Junagadh,Mangrol
110,Gujarat,Junagadh,Mendarda
111,Gujarat,Junagadh,Maliya Hatina
112,Gujarat,Junagadh,Bhesan
113,Gujarat,Junagadh,Visavadar
114,Gujarat,Kheda,Galteshwar
115,Gujarat,Kheda,Thasra
116,Gujarat,Kheda,Kathalal
117,Gujarat,Kheda,Kapadwanj
5790,Tamil Nadu,Anna,Anna
119,Gujarat,Kheda,Matar
120,Gujarat,Kheda,Mahudha
121,Gujarat,Kheda,Vaso
122,Gujarat,Kheda,Nadiad
123,Gujarat,Kutch,Abdasa
124,Gujarat,Kutch,Anjar
125,Gujarat,Kutch,Bhachau
126,Gujarat,Kutch,Bhuj
127,Gujarat,Kutch,Gandhidham
128,Gujarat,Kutch,Lakhpat
129,Gujarat,Kutch,Mandvi
130,Gujarat,Kutch,Mundra
131,Gujarat,Kutch,Nakhatrana
132,Gujarat,Mahisagar,Lunawada
133,Gujarat,Mahisagar,Khanpur
134,Gujarat,Mahisagar,Balasinor
135,Gujarat,Mahisagar,Virpur
136,Gujarat,Mahisagar,Santrampur
137,Gujarat,Mahisagar,Kadana
138,Gujarat,Mehsana,Mehsana
